Order_ID,Order_Date,Customer_Name,Region,Salesperson,Category,Product,Quantity,Unit_Price,Discount_Percentage,Sales,Cost,Profit
ORD00001,2025-05-02,Nathan Goswami,South,Anjali,Electronics,Printer,7,12000,20,67200.0,63000,4200.0
ORD00002,2024-08-05,Liam Chacko,West,Sneha,Electronics,Monitor,7,15000,10,94500.0,77000,17500.0
ORD00003,2025-03-04,Zaid Naidu,South,Priya,Electronics,Monitor,7,15000,10,94500.0,77000,17500.0
ORD00004,2026-02-09,Bimala Virk,North,Anjali,Accessories,Mouse,4,800,10,2880.0,2000,880.0
ORD00005,2025-11-21,Charan Chana,West,Sneha,Accessories,Keyboard,6,2500,10,13500.0,10800,2700.0
ORD00006,2025-07-02,Advik Karan,South,Sneha,Electronics,Laptop,3,60000,5,171000.0,135000,36000.0
ORD00007,2024-12-16,Dayita Walla,East,Priya,Accessories,Keyboard,1,2500,20,2000.0,1800,200.0
ORD00008,2024-09-13,Yoshita Mann,West,Rohit,Electronics,Laptop,5,60000,10,270000.0,225000,45000.0
ORD00009,2025-04-24,Dakshesh Sandhu,East,Pooja,Accessories,Mouse,5,800,15,3400.0,2500,900.0
ORD00010,2025-03-23,Barkha Dubey,South,Sneha,Accessories,Mouse,1,800,20,640.0,500,140.0
ORD00011,2026-04-22,Pranit Uppal,East,Karan,Electronics,Monitor,2,15000,5,28500.0,22000,6500.0
ORD00012,2025-11-12,Saanvi Gade,East,Rahul,Accessories,Mouse,7,800,20,4480.0,3500,980.0
ORD00013,2025-12-07,Reyansh Salvi,North,Rohit,Electronics,Printer,3,12000,5,34200.0,27000,7200.0
ORD00014,2024-07-18,Bahadurjit Bora,East,Karan,Electronics,Monitor,9,15000,10,121500.0,99000,22500.0
ORD00015,2025-05-08,Jeevika Johal,South,Karan,Accessories,Mouse,2,800,15,1360.0,1000,360.0
ORD00016,2026-01-28,Gautam Sethi,East,Anjali,Electronics,Printer,10,12000,20,96000.0,90000,6000.0
ORD00017,2025-04-14,Sarthak Biswas,North,Vikram,Electronics,Printer,4,12000,15,40800.0,36000,4800.0
ORD00018,2025-03-25,Balveer Manne,North,Rahul,Electronics,Monitor,2,15000,10,27000.0,22000,5000.0
ORD00019,2025-09-28,Warjas Mangat,South,Rohit,Electronics,Laptop,10,60000,15,510000.0,450000,60000.0
ORD00020,2026-01-11,Baghyawati Sankaran,North,Karan,Accessories,Keyboard,9,2500,0,22500.0,16200,6300.0
ORD00021,2026-06-11,Hardik Kale,East,Anjali,Electronics,Laptop,10,60000,0,600000.0,450000,150000.0
ORD00022,2025-10-17,Pranit Chakraborty,North,Rohit,Electronics,Monitor,10,15000,5,142500.0,110000,32500.0
ORD00023,2026-01-14,Isha Thaman,South,Neha,Electronics,Printer,10,12000,15,102000.0,90000,12000.0
ORD00024,2026-03-14,Alka Khanna,South,Vikram,Accessories,Keyboard,9,2500,5,21375.0,16200,5175.0
ORD00025,2025-05-31,Nimrat Bhasin,North,Rahul,Accessories,Mouse,2,800,10,1440.0,1000,440.0
ORD00026,2025-06-29,Watika Nayar,North,Anjali,Electronics,Printer,1,12000,15,10200.0,9000,1200.0
ORD00027,2024-09-02,Nimrat Vig,South,Neha,Accessories,Keyboard,4,2500,0,10000.0,7200,2800.0
ORD00028,2024-11-19,Tanish Ratti,West,Vikram,Accessories,Mouse,7,800,5,5320.0,3500,1820.0
ORD00029,2026-03-16,Kashish Kapoor,East,Rahul,Accessories,Mouse,10,800,0,8000.0,5000,3000.0
ORD00030,2025-01-14,Logan Reddy,South,Rahul,Accessories,Keyboard,5,2500,15,10625.0,9000,1625.0
ORD00031,2025-03-25,Deepa Baria,South,Vikram,Accessories,Keyboard,1,2500,20,2000.0,1800,200.0
ORD00032,2025-12-23,Udant Shah,South,Rohit,Electronics,Printer,10,12000,10,108000.0,90000,18000.0
ORD00033,2024-07-26,Chaaya Bhatti,West,Rahul,Accessories,Keyboard,9,2500,20,18000.0,16200,1800.0
ORD00034,2026-06-06,Yachana Parmar,South,Rahul,Electronics,Monitor,3,15000,10,40500.0,33000,7500.0
ORD00035,2025-05-03,Saanvi Balasubramanian,West,Karan,Electronics,Monitor,9,15000,10,121500.0,99000,22500.0
ORD00036,2025-02-10,Varenya Bir,North,Karan,Accessories,Keyboard,7,2500,0,17500.0,12600,4900.0
ORD00037,2026-05-21,Riya Pandya,West,Rohit,Electronics,Printer,7,12000,0,84000.0,63000,21000.0
ORD00038,2024-09-22,Zaitra Nagy,South,Neha,Electronics,Laptop,4,60000,20,192000.0,180000,12000.0
ORD00039,2024-10-17,Chatura Naik,South,Anjali,Accessories,Mouse,6,800,5,4560.0,3000,1560.0
ORD00040,2025-04-18,Rachita Sridhar,East,Karan,Electronics,Monitor,4,15000,10,54000.0,44000,10000.0
ORD00041,2024-10-31,Dominic Choudhry,South,Rahul,Accessories,Keyboard,7,2500,10,15750.0,12600,3150.0
ORD00042,2024-10-12,Harshil Pandey,North,Vikram,Electronics,Laptop,1,60000,5,57000.0,45000,12000.0
ORD00043,2025-03-19,Lavanya Khalsa,East,Amit,Electronics,Laptop,4,60000,20,192000.0,180000,12000.0
ORD00044,2024-10-10,Vedant Ganesan,West,Pooja,Electronics,Printer,10,12000,10,108000.0,90000,18000.0
ORD00045,2024-12-29,Faris Andra,North,Rohit,Electronics,Printer,10,12000,10,108000.0,90000,18000.0
ORD00046,2024-08-23,Gautami Dhar,West,Rohit,Electronics,Monitor,9,15000,0,135000.0,99000,36000.0
ORD00047,2026-05-13,Hemani Lad,West,Amit,Electronics,Laptop,5,60000,15,255000.0,225000,30000.0
ORD00048,2024-11-26,Theodore Kadakia,East,Rahul,Electronics,Printer,2,12000,15,20400.0,18000,2400.0
ORD00049,2025-12-25,Madhav Oommen,East,Rohit,Electronics,Monitor,3,15000,15,38250.0,33000,5250.0
ORD00050,2024-07-05,Quincy Raju,East,Rohit,Accessories,Mouse,3,800,20,1920.0,1500,420.0
ORD00051,2026-06-01,Suhani Kari,South,Rohit,Electronics,Monitor,4,15000,0,60000.0,44000,16000.0
ORD00052,2024-09-24,Arya Pathak,East,Rahul,Electronics,Laptop,1,60000,5,57000.0,45000,12000.0
ORD00053,2024-12-10,Rachana Sani,South,Neha,Electronics,Printer,9,12000,10,97200.0,81000,16200.0
ORD00054,2025-02-23,Hema Bumb,East,Karan,Electronics,Monitor,4,15000,15,51000.0,44000,7000.0
ORD00055,2026-04-17,Vansha Chaudhary,West,Priya,Accessories,Keyboard,4,2500,5,9500.0,7200,2300.0
ORD00056,2025-07-29,Indrajit Din,West,Priya,Electronics,Monitor,7,15000,15,89250.0,77000,12250.0
ORD00057,2024-07-12,Jagrati Nazareth,South,Anjali,Accessories,Mouse,9,800,5,6840.0,4500,2340.0
ORD00058,2025-11-26,Yatan Mani,South,Karan,Electronics,Monitor,8,15000,20,96000.0,88000,8000.0
ORD00059,2026-04-30,Watika Trivedi,East,Vikram,Electronics,Laptop,4,60000,20,192000.0,180000,12000.0
ORD00060,2025-05-18,Lavanya Mallick,North,Rohit,Accessories,Mouse,8,800,15,5440.0,4000,1440.0
ORD00061,2025-11-30,Rehaan Dhaliwal,East,Vikram,Accessories,Keyboard,2,2500,5,4750.0,3600,1150.0
ORD00062,2024-10-11,Saumya Baria,North,Anjali,Electronics,Monitor,7,15000,20,84000.0,77000,7000.0
ORD00063,2025-03-04,Yatin Uppal,South,Karan,Accessories,Mouse,1,800,20,640.0,500,140.0
ORD00064,2025-04-11,Yash Dada,West,Amit,Accessories,Keyboard,5,2500,0,12500.0,9000,3500.0
ORD00065,2024-07-17,Bhavika Sarma,West,Pooja,Electronics,Printer,1,12000,0,12000.0,9000,3000.0
ORD00066,2025-08-05,Anya Pillai,South,Priya,Electronics,Laptop,3,60000,10,162000.0,135000,27000.0
ORD00067,2026-04-02,Siddharth Vasa,North,Anjali,Accessories,Mouse,8,800,20,5120.0,4000,1120.0
ORD00068,2026-06-06,Nathaniel Gole,North,Rahul,Electronics,Laptop,1,60000,10,54000.0,45000,9000.0
ORD00069,2026-04-13,Samesh Shah,South,Rahul,Electronics,Laptop,1,60000,15,51000.0,45000,6000.0
ORD00070,2025-09-05,Matthew Tank,South,Rohit,Electronics,Laptop,9,60000,20,432000.0,405000,27000.0
ORD00071,2026-05-09,Yashvi Sampath,South,Neha,Electronics,Monitor,7,15000,5,99750.0,77000,22750.0
ORD00072,2025-08-13,Xavier Sastry,South,Rahul,Electronics,Monitor,9,15000,0,135000.0,99000,36000.0
ORD00073,2026-02-08,Tarak Saxena,North,Rahul,Accessories,Keyboard,10,2500,5,23750.0,18000,5750.0
ORD00074,2025-05-27,Lekha Sharaf,South,Sneha,Electronics,Laptop,8,60000,0,480000.0,360000,120000.0
ORD00075,2024-10-01,Ayaan Arora,North,Pooja,Electronics,Monitor,8,15000,10,108000.0,88000,20000.0
ORD00076,2024-08-13,Nirja Chhabra,South,Vikram,Accessories,Keyboard,1,2500,5,2375.0,1800,575.0
ORD00077,2026-05-06,Prisha Mital,West,Pooja,Electronics,Laptop,5,60000,20,240000.0,225000,15000.0
ORD00078,2024-12-21,Nisha Saha,North,Neha,Electronics,Laptop,6,60000,15,306000.0,270000,36000.0
ORD00079,2026-06-09,Ishanvi Bassi,North,Vikram,Electronics,Monitor,2,15000,5,28500.0,22000,6500.0
ORD00080,2025-05-15,Peter Sachdev,South,Rohit,Accessories,Keyboard,8,2500,10,18000.0,14400,3600.0
